,New Year ,01/01/2024,01/01/2025,01/01/2026
[US],Martin Luther King Jr. Day,15/01/2024,20/01/2025,19/01/2026
[MX],Constitution Day,05/02/2024,03/02/2025,02/02/2026
[US],Presidents' Day,19/02/2024,17/02/2025,16/02/2026
[MX],Benito Juárez's Birthday Memorial,18/03/2024,17/03/2025,16/03/2026
[CA],Good Friday,29/03/2024,18/04/2025,03/04/2026
[CA-FR],Easter Monday,01/04/2024,21/04/2025,06/04/2026
[FR-MX],Labor Day / May Day,01/05/2024,01/05/2025,01/05/2026
[FR],WWII Victory Day,08/05/2024,08/05/2025,08/05/2026
[FR],Ascension Day,09/05/2024,29/05/2025,14/05/2026
[FR],Pentecost Monday,20/05/2024,09/06/2025,25/05/2026
[CA-QC],Victoria / Patriot Day,20/05/2024,19/05/2025,18/05/2026
[US],Memorial Day,27/05/2024,26/05/2025,25/05/2026
[US],Juneteenth,19/05/2024,19/06/2025,19/06/2026
[QC],Québec's National Day,24/06/2024,24/06/2025,24/06/2026
[CA],Canada Day,01/07/2024,01/07/2025,01/07/2026
[US],Independence Day,04/07/2024,04/07/2025,04/07/2026
[FR],Bastille Day,14/07/2024,14/07/2025,14/07/2026
[FR],Assumption of Mary,15/08/2024,15/08/2025,15/08/2026
[CA-US],Labour Day,02/09/2024,01/09/2025,07/09/2026
[MX],Independence Day,16/09/2024,16/09/2025,16/09/2026
,[CA] Thanksgiving / [US] Columbus Day,14/10/2024,13/10/2025,12/10/2026
[FR],All Saints' Day,01/11/2024,01/11/2025,01/11/2026
[CA-US-FR],WWI Armistice / Veterans Day,11/11/2024,11/11/2025,11/11/2026
[MX],Revolution Day Memorial,18/11/2024,17/11/2025,16/11/2026
[US],Thanksgiving Day,28/11/2024,27/11/2025,26/11/2026
,Christmas Day,25/12/2024,25/12/2025,25/12/2026
